PROVID,PROVNAME,PROVIDERFIRSTNAME,PROVIDERLASTNAME,PROVNPI,PROVZIPCODE,PROVTYPECODE,PROVTYPEDESC,SPECCODE,SPECDESC,SPECROLLUPCODE,SPECROLLUPDESC,IMPLIEDSPECCODE,IMPLIEDSPECDESC,RC,MEMCOUNT,PAIDAMT
330487961,Provider - 330487961,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,133,21,650102.24
330490639,Provider - 330490639,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,171,14,233194.01
330498791,Provider - 330498791,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0012,Non-PBM Drug,24,1,194735
330544209,Provider - 330544209,,,,33102,F,,IS0023,Hospital,,,IS0047,Vascular Surgery,27,1,182380.2
330544837,"MAGANA, BONNIE MD",,,,43271,F,,01,General Practice,,,IS0034,Orthopedics,24,1,175409.66
330490639,Provider - 330490639,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0012,Non-PBM Drug,35,1,170670.16
330492568,Provider - 330492568,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0012,Non-PBM Drug,5,1,159409.6
330544839,"LEON, AUDREY MD",,,,43271,F,,01,General Practice,,,IS0045,Surgery,29,1,157183.22
330498791,Provider - 330498791,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,16,1,151405.4
330115515,Provider - 330115515,,,,67201,F,,IS0023,Hospital,,,IS0046,Urology,19,1,111601.15
330544212,Provider - 330544212,,,,30384,F,,IS0023,Hospital,,,IS0047,Vascular Surgery,6,1,92785.44
330266439,Provider - 330266439,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,24,3,89802.4
330525172,Provider - 330525172,,,~NULL,,~NULL,,IS0006,Cardiology,,,IS0006,Cardiology,91,13,88890.42
330490639,Provider - 330490639,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0042,Radiology,149,25,84754
330487910,Provider - 330487910,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,21,1,84339.04
330544320,Provider - 330544320,,,,43214,F,,01,General Practice,,,IS0023,Hospital,5,1,79530.51
330544839,"LEON, AUDREY MD",,,,43271,F,,AC29,Home Health Care,,,IS0035,Other Supplies,76,1,72346.8
330544210,Provider - 330544210,,,,33143,F,,IS0023,Hospital,,,IS0045,Surgery,45,2,69350.85
330490639,Provider - 330490639,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0014,Emergency Room,234,21,66130.92
330544851,"CRAIG, JOY MD",,,,15213,F,,IS0023,Hospital,,,IS0034,Orthopedics,19,1,61656.4
330250232,Provider - 330250232,,,,67201,F,,AC17,Dialysis,,,IS0028,Nephrology,13,1,59753.25
330020920,Provider - 330020920,,,,71210,F,,IS0023,Hospital,,,IS0034,Orthopedics,4,1,59446.03
330487648,Provider - 330487648,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,98,1,58012.55
330544214,Provider - 330544214,,,,33136,F,,IS0023,Hospital,,,IS0045,Surgery,134,1,57381.76
330488212,Provider - 330488212,,,~NULL,,~NULL,,05,Anesthesiology,,,IS0004,Anesthesia,31,18,52888.23
330490639,Provider - 330490639,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0006,Cardiology,48,10,51044.56
330308068,Provider - 330308068,,,,44203,F,,A3,"Nursing Facility, Other",,,IS0011,Dermatology,29,1,46368
330544217,Provider - 330544217,,,,30384,F,,IS0023,Hospital,,,IS0046,Urology,12,1,46245.6
330006655,Provider - 330006655,,,,70162,F,,AC17,Dialysis,,,IS0028,Nephrology,84,1,45963.5
330359099,Provider - 330359099,,,,43271,F,,01,General Practice,,,IS0047,Vascular Surgery,10,1,44850
330544209,Provider - 330544209,,,,33102,F,,IS0023,Hospital,,,IS0028,Nephrology,12,1,44181
330490639,Provider - 330490639,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0026,Laboratory,457,28,43938
330558163,Provider - 330558163,,,,67201,F,,IS0023,Hospital,,,IS0023,Hospital,2,1,43448.97
330487697,Provider - 330487697,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,6,1,43260.48
330544210,Provider - 330544210,,,,33102,F,,IS0023,Hospital,,,IS0006,Cardiology,5,1,36718.6
330332659,Provider - 330332659,,,,19612,F,,IS0023,Hospital,,,IS0048,ICD9 - Procedures,107,1,36106.43
330544851,"CRAIG, JOY MD",,,,15213,F,,IS0023,Hospital,,,IS0045,Surgery,29,1,34593.99
330487961,Provider - 330487961,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0032,Oncology,2,1,34149.6
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0034,Orthopedics,64,2,33770.23
330463900,Provider - 330463900,,,,67201,F,,70,Multi-specialty Clinic or Group,,,IS0023,Hospital,3,1,32138.54
330544839,"LEON, AUDREY MD",,,,43271,F,,01,General Practice,,,IS0048,ICD9 - Procedures,25,1,31572.24
330115515,Provider - 330115515,,,,67201,F,,IS0023,Hospital,,,IS0028,Nephrology,8,1,31004.39
330463722,Provider - 330463722,,,,672018493,F,,IS0023,Hospital,,,IS0012,Non-PBM Drug,2,1,30938.88
330332659,Provider - 330332659,,,,19612,F,,IS0023,Hospital,,,IS0006,Cardiology,34,1,30663.98
330356095,Provider - 330356095,,,~NULL,,~NULL,,20,Orthopedic surgery,,,IS0034,Orthopedics,10,5,26637.24
330047202,Provider - 330047202,,,,30384,F,,IS0023,Hospital,,,IS0028,Nephrology,7,1,26186.64
330544447,"JONES, VICTORIA MD",,,,45263,F,,IS0023,Hospital,,,IS0045,Surgery,4,1,25494.21
330047202,Provider - 330047202,,,,30384,F,,IS0023,Hospital,,,IS0034,Orthopedics,3,1,25475.62
330510115,Provider - 330510115,,,~NULL,,~NULL,,31,"Roentgenology, radiology",,,IS0042,Radiology,172,32,24645.73
330115515,Provider - 330115515,,,,67201,F,,IS0023,Hospital,,,IS0033,Operating Room,10,1,23837.09
330255322,Provider - 330255322,,,,77210,P,,88,Unknown supplier/provider specialty,,,IS0027,Mental Health,6,1,23820.2
330487961,Provider - 330487961,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0043,Rehabilitation Therapies,55,2,23224.16
330498791,Provider - 330498791,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0032,Oncology,2,1,23197.35
330525172,Provider - 330525172,,,~NULL,,~NULL,,IS0006,Cardiology,,,IS0047,Vascular Surgery,23,2,22964.06
330487961,Provider - 330487961,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0033,Operating Room,2,2,22401
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0023,Hospital,16,5,21757.72
330131000,Provider - 330131000,,,,67208,F,,AC24,Extended Care Facility,,,IS0023,Hospital,4,1,21318
330297720,Provider - 330297720,,,,45840,P,,92,Radiation oncology,,,IS0032,Oncology,58,1,21217.16
330473141,Provider - 330473141,,,~NULL,,~NULL,,16,Obstetrics/gynecology,,,IS0031,Obstetrics/Gynecology,9,5,20924
330193371,Provider - 330193371,,,,90074,F,,IS0023,Hospital,,,IS0007,Cardiothoracic Surgery,9,1,20901.81
330509669,Provider - 330509669,,,~NULL,,~NULL,,20,Orthopedic surgery,,,IS0034,Orthopedics,3,3,20688.33
330523949,Provider - 330523949,,,,452363506,F,,AC30,Hospice,,,IS0044,Skilled Nursing Facility,4,1,20355
330544210,Provider - 330544210,,,,33143,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,13,2,19871.59
330544217,Provider - 330544217,,,,30384,F,,IS0023,Hospital,,,IS0032,Oncology,3,1,19734.3
330544223,Provider - 330544223,,,,30384,F,,IS0023,Hospital,,,IS0034,Orthopedics,8,1,19700
330048955,Provider - 330048955,,,,02241,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,2,1,19518.3
330544299,Provider - 330544299,,,,45409,F,,01,General Practice,,,IS0043,Rehabilitation Therapies,109,1,19438.56
330309930,Provider - 330309930,,,~NULL,,~NULL,,93,Emergency medicine,,,IS0014,Emergency Room,34,20,19402.19
330355716,Provider - 330355716,,,,43260,F,,A1,Skilled Nursing Facility (SNF),,,IS0023,Hospital,5,1,19200
330544210,Provider - 330544210,,,,33102,F,,IS0023,Hospital,,,IS0026,Laboratory,10,3,18848.2
330233382,Provider - 330233382,,,,19178,F,,AC17,Dialysis,,,IS0028,Nephrology,6,1,18173.55
330511913,Provider - 330511913,,,~NULL,,~NULL,,20,Orthopedic surgery,,,IS0034,Orthopedics,8,1,17009.7
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0005,Blood Bank,23,1,16453.21
330544311,Provider - 330544311,,,,452634856,F,,IS0023,Hospital,,,IS0023,Hospital,3,1,16215.37
1033397500,"FRONTIER VISION CLINIC, PC",,,,43623,F,,IS0023,Hospital,,,IS0012,Non-PBM Drug,2,1,16135.61
330445070,Provider - 330445070,,,,91387,P,,37,Pediatric medicine,,,IS0012,Non-PBM Drug,1,1,16096
330544038,Provider - 330544038,,,,32606,P,,~NULL,Field empty,,,IS0012,Non-PBM Drug,1,1,16044.16
